EntryID,Location,SKU_Code,BatchNo,ExpiryDate,UnitType,QtyPerCtn,TotalQty,Comments,DateAdded,LastUpdated
112464,Q-10-6,GD2117,83,05/2025,PCS,96,288,,12/10/2025,
112465,Q-10-6,GD2117,93,01/2026,PCS,96,96,,12/10/2025,
112466,Q-10-6,GD2206,27207222411,07/2024,PCS,126,47,,12/10/2025,
112467,Q-10-6,NB026-1,127066119001,06/2024,PCS,144,144,,12/10/2025,
112468,Q-10-6,NB026-1,21311319201,11/2024,PCS,144,290,,12/10/2025,
112469,Q-10-6,NS1801,1605241801,05/2025,PCS,6,18,,12/10/2025,
112470,Q-10-6,TGD2406BL,09209624020,09/2027,PCS,70,82,HOLD,12/10/2025,
112471,Q-11-1,TBN77,LD,09/2028,PCS,,,,12/10/2025,
112472,Q-11-2,TGD1901,0H1,08/2023,PCS,35,479,,12/10/2025,
112473,Q-11-3,BNHC2009,0I3,09/2023,PCS,18,504,,12/10/2025,
112474,Q-11-4,NS108,04412419008,12/2024,PCS,45,"1,496",,12/10/2025,
112475,Q-11-5,TBNHC2008/V2,LH,12/2024,PCS,36,715,,12/10/2025,
112476,Q-11-6,NS255,TU,10/2024,PCS,36,859,,12/10/2025,
112477,Q-1-1,TBN87,KA,07/2028,PCS,,,,12/10/2025,
112478,Q-12-1,PL207,3A6,01/2028,PCS,60,27,,12/10/2025,
112479,Q-12-1,PL207,3C10,03/2028,PCS,60,"2,460",,12/10/2025,
112480,Q-12-2,BN12,65,02/2027,PCS,36,22,,12/10/2025,
112481,Q-12-2,BN2024,20122120242,09/2024,PCS,12,4,,12/10/2025,
112482,Q-12-2,BN2322,1909232322,09/2026,PCS,12,2,,12/10/2025,
112483,Q-12-2,CP506,19611219050,11/2024,PCS,20,10,,12/10/2025,
112484,Q-12-2,NB016-16,04402219202,02/2024,PCS,14,14,,12/10/2025,
112485,Q-12-2,NB016-16,22510319002,10/2024,PCS,14,6,,12/10/2025,
112486,Q-12-2,NB016-16,29005819002,05/2025,PCS,14,11,,12/10/2025,
112487,Q-12-2,NS10/08,0910191008,06/2024,PCS,27,18,,12/10/2025,
112488,Q-12-2,NS2313,65,06/2026,PCS,12,10,,12/10/2025,
112489,Q-12-2,NS31AA,10812019001,12/2024,PCS,75,10,,12/10/2025,
112490,Q-12-2,RC2005,AU,05/2025,PCS,20,3,,12/10/2025,
112491,Q-12-2,RCFM04,2A3,01/2024,PCS,16,11,,12/10/2025,
112492,Q-12-2,RCHC10,01207221410,07/2026,PCS,16,4,,12/10/2025,
112493,Q-12-2,RCTM04,2K11,11/2024,PCS,16,9,,12/10/2025,
112494,Q-12-2,WBN2306,0109232306,08/2026,PCS,12,12,,12/10/2025,
112495,Q-12-2,WBN402,IF3,06/2026,PCS,60,6,,12/10/2025,
112496,Q-12-3,BNHC2009,0I3,09/2023,PCS,18,504,,12/10/2025,
112497,Q-12-4,RCTM01,3A3,01/2025,PCS,16,458,,12/10/2025,
112498,Q-12-5,CCC150,21,07/2023,PCS,30,510,,12/10/2025,
112499,Q-12-6,NB016-16,22510319002,10/2024,PCS,14,770,,12/10/2025,
112500,Q-1-2,TBN87,KA,07/2028,PCS,,,,12/10/2025,
112501,Q-1-4,TBN87,KA,07/2028,PCS,,,,12/10/2025,
112502,Q-1-5,TRC2501,03,07/2028,PCS,106,582,,12/10/2025,
112503,Q-2-1,TGD2104,17609025204,09/2028,PCS,144,"7,310",,12/10/2025,
112504,Q-2-2,BNHC1803,10609225024,09/2030,PCS,8,"1,119",,12/10/2025,
112505,Q-2-3,TNB03,2920942523A,09/2030,PCS,106,"2,968",,12/10/2025,
112506,Q-3-1,GD2104,05508025304,08/2028,PCS,126,111,,12/10/2025,
112507,Q-3-1,NS2504,0110252504,06/2028,PCS,12,"1,598",,12/10/2025,
112508,Q-3-1,TBN69,KR,09/2028,PCS,300,"9,244",,12/10/2025,
112509,Q-3-2,TWH410,LC,09/2028,PCS,400,"1,120",,12/10/2025,
112510,Q-3-3,BN85,IM,05/2028,PCS,12,"12,420",R806,12/10/2025,
112511,Q-3-4,TRC2501VE,03,07/2028,PCS,106,"2,968",,12/10/2025,
112512,Q-3-5,BN506X12,4K4,11/2027,PCS,12,"3,252",,12/10/2025,
112513,Q-4-1,BN87,IM,05/2028,PCS,12,"12,420",R807,12/10/2025,
112514,Q-4-2,TNS2010,17109625110,09/2028,PCS,100,"5,500",,12/10/2025,
112515,Q-4-3,BNHC1803,10609225024,09/2030,PCS,8,"1,120",,12/10/2025,
112516,Q-4-4,BN2523,17,08/2028,PCS,12,"1,114",,12/10/2025,
112517,Q-5-1,FBN56,FK,01/2023,PCS,132,"1,980",,12/10/2025,
112518,Q-5-2,GD1909,NP,11/2023,PCS,44,566,,12/10/2025,
112519,Q-5-3,BN2132,1809212132,08/2023,PCS,21,15,,12/10/2025,
112520,Q-5-3,BN538,KD,08/2023,PCS,38,30,,12/10/2025,
112521,Q-5-3,BNHC2013,1811202013,07/2023,PCS,18,82,,12/10/2025,
112522,Q-5-4,RCHC10,01207221410,07/2026,PCS,16,272,,12/10/2025,
112523,Q-5-6,WBN402,0840742526,07/2028,PCS,60,540,,12/10/2025,
112524,Q-6-1,BNHC1906,17502320017,02/2023,PCS,8,"1,343",,12/10/2025,
112525,Q-6-2,BNHC2009,0I3,09/2023,PCS,18,504,,12/10/2025,
112526,Q-6-3,WR055,MP,11/2023,PCS,36,"1,277",,12/10/2025,
112527,Q-6-4,TBNHC2007S,06108121609,08/2024,PCS,16,760,,12/10/2025,
112528,Q-6-6,TBN357,JJ,06/2028,PCS,52,330,,12/10/2025,
112529,Q-7-1,HOLDTBN402W,13202423248,02/2026,PCS,60,"5,103",,12/10/2025,
112530,Q-7-2,BNHC2009,0I3,09/2023,PCS,18,504,,12/10/2025,
112531,Q-7-3,BNHC2009,0I3,09/2023,PCS,18,504,,12/10/2025,
112532,Q-7-4,NS1801,3105241801,05/2025,PCS,6,330,,12/10/2025,
112533,Q-8-1,PL201,IU,08/2026,PCS,36,576,,12/10/2025,
112534,Q-8-2,BNHC2009,0I3,09/2023,PCS,18,504,,12/10/2025,
112535,Q-8-3,TGD1901,0H1,08/2023,PCS,35,"1,498",,12/10/2025,
112536,Q-8-4,NS1801,3105241801,05/2025,PCS,6,301,,12/10/2025,
112537,Q-8-5,RCHC2101HM,KR,10/2024,PCS,66,229,,12/10/2025,
112538,Q-8-5,RCHC2101HM,LD,11/2024,PCS,68,"1,224",,12/10/2025,
112539,Q-8-5,RCHC2103HM,LB,11/2024,PCS,56,49,,12/10/2025,
112540,Q-8-6,NS60SW,1611219618,12/2024,PCS,12,98,,12/10/2025,
112541,Q-9-1,PL201,IU,08/2026,PCS,36,"1,008",,12/10/2025,
112542,Q-9-2,HOLDCCC150,21,07/2023,PCS,36,"1,650",ON HOLD,12/10/2025,
112543,Q-9-3,GD1908,NS,11/2023,PCS,44,547,,12/10/2025,
112544,Q-9-4,NS1801,1006221801,05/2025,PCS,6,101,,12/10/2025,
112545,Q-9-5,G62-80,16403420062,03/2025,PCS,15,6,,12/10/2025,
112546,Q-9-5,NS05AA-5,9I10,09/2024,PCS,12,4,,12/10/2025,
112547,Q-9-5,NS10/08-20+8,141219208,10/2024,PCS,27,10,,12/10/2025,
112548,Q-9-5,NS102,10203220402,03/2025,PCS,36,3,,12/10/2025,
112549,Q-9-5,NS105SW,9I10,09/2024,PCS,12,2,,12/10/2025,
112550,Q-9-5,NS225,RJ,05/2024,PCS,36,122,,12/10/2025,
112551,Q-9-5,NS225-200,RJ,05/2024,PCS,36,33,,12/10/2025,
112552,Q-9-5,NS32AA,10812019001,12/2024,PCS,80,80,,12/10/2025,
112553,Q-9-5,TCP50,18303320250,03/2025,PCS,120,3,,12/10/2025,
112554,Q-9-6,NS225,RJ,05/2024,PCS,36,"1,915",,12/10/2025,
112555,R-10-1,TWH407,KU,09/2028,PCS,400,"11,200",,12/10/2025,
112556,R-10-2,TBN2109FP,1H20,03/2024,PCS,168,64,,12/10/2025,
112557,R-10-2,TBN2114MH/V2,2F9,01/2024,PCS,45,185,,12/10/2025,
112558,R-10-2,TBN2114VC/V2,2I1,09/2024,PCS,44,56,,12/10/2025,
112559,R-10-2,TBN2121FS,1H12,08/2024,PCS,45,126,,12/10/2025,
112560,R-10-2,TBN2131BO/v2,2F19,06/2025,PCS,272,34,,12/10/2025,
112561,R-10-2,TBNE07,1G9,04/2025,PCS,168,12,,12/10/2025,
